Taxon_ID,AB-Mix1
Taxon2,14
Taxon32,15536
Taxon1,11500
Taxon1335,11408
Taxon3,959
Taxon19,4908
Taxon7639,2797
Taxon351,0
Taxon1625,0
Taxon2661,2020
Taxon11918,0
Taxon2583,1965
Taxon54,0
Taxon4,1231
Taxon299,0
Taxon18,0
Taxon29,0
Taxon622,1143
Taxon23,941
Taxon16,0
Taxon5,532
Taxon255,0
Taxon89,0
Taxon7462,0
Taxon246,0
Taxon4513,0
Taxon508,732
Taxon101,547
Taxon20,0
Taxon41,0
Taxon801,0
Taxon9,0
Taxon7,0
Taxon8034,0
Taxon93,731
Taxon74,0
Taxon13,577
Taxon6089,0
Taxon5788,0
Taxon1516,508
Taxon232,0
Taxon547,797
Taxon343,0
Taxon6120,0
Taxon97,0
Taxon4398,0
Taxon2840,0
Taxon94,0
Taxon1204,0
Taxon30,0
Taxon1878,0
Taxon14,105
Taxon278,324
Taxon698,43
Taxon4742,354
Taxon174,0
Taxon83,168
Taxon151,0
Taxon1934,341
Taxon911,307
Taxon764,296
Taxon316,190
Taxon479,0
Taxon10253,0
Taxon657,0
Taxon469,0
Taxon250,0
Taxon3086,0
Taxon43,295
Taxon1616,0
Taxon382,273
Taxon5338,241
Taxon38,63
Taxon9364,0
Taxon28,0
Taxon12,0
Taxon1017,0
Taxon11027,0
Taxon927,203
Taxon450,0
Taxon59,55
Taxon361,0
Taxon64,0
Taxon104,0
Taxon3250,0
Taxon12095,0
Taxon45,0
Taxon127,0
Taxon339,0
Taxon1587,0
Taxon1655,0
Taxon1327,131
Taxon379,0
Taxon861,0
Taxon27,182
Taxon684,182
Taxon2440,147
Taxon373,231
Taxon125,0
Taxon84,189
Taxon21,63
Taxon116,309
Taxon90,76
Taxon4482,187
Taxon87,124
Taxon44,42
Taxon1663,165
Taxon4676,0
Taxon306,28
Taxon2651,100
Taxon2179,54
Taxon847,0
Taxon689,225
Taxon1023,126
Taxon33,0
Taxon122,0
Taxon182,131
Taxon129,0
Taxon452,130
Taxon79,267
Taxon3888,0
Taxon3518,327
Taxon1221,145
Taxon1067,168
Taxon36,0
Taxon18988,0
Taxon292,100
Taxon723,0
Taxon4141,0
Taxon164,100
Taxon31,95
Taxon108,40
Taxon20416,121
Taxon2226,0
Taxon784,0
Taxon7024,138
Taxon388,79
Taxon4547,0
Taxon2448,204
Taxon4107,102
Taxon22,0
Taxon7123,33
Taxon3924,124
Taxon318,0
Taxon1996,45
Taxon213,62
Taxon9906,0
Taxon3642,0
Taxon2491,0
Taxon3433,0
Taxon2599,236
Taxon319,0
Taxon4012,0
Taxon1254,0
Taxon14881,66
Taxon10787,0
Taxon3353,0
Taxon37,97
Taxon13859,0
Taxon85,66
Taxon12776,0
Taxon2970,0
Taxon228,0
Taxon453,35
Taxon14464,118
Taxon2778,0
Taxon2103,40
Taxon8670,0
Taxon752,0
Taxon5614,166
Taxon375,0
Taxon68,0
Taxon279,0
Taxon156,0
Taxon1703,0
Taxon1750,0
Taxon1952,0
Taxon6358,0
Taxon5462,89
Taxon673,0
Taxon16069,0
Taxon25,0
Taxon1511,0
Taxon3726,55
Taxon4439,0
Taxon158,0
Taxon1239,0
Taxon2393,57
Taxon1187,0
Taxon331,0
Taxon3318,0
Taxon1177,0
Taxon1701,33
Taxon181,0
Taxon2128,0
Taxon4874,0
Taxon150,0
Taxon350,0
Taxon6227,0
Taxon1544,0
Taxon771,0
Taxon230,0
Taxon1139,0
Taxon7947,37
Taxon2548,0
Taxon134,0
Taxon71,0
Taxon7239,0
Taxon437,0
Taxon395,30
Taxon3129,101
Taxon257,0
Taxon8249,0
Taxon1146,0
Taxon2671,0
Taxon3022,0
Taxon14273,0
Taxon13068,0
Taxon635,0
Taxon5349,0
Taxon3731,0
Taxon1850,27
Taxon2233,144
Taxon9908,29
Taxon4127,0
Taxon487,0
Taxon6673,0
Taxon567,0
Taxon697,0
Taxon11765,0
Taxon2912,0
Taxon4991,0
Taxon2715,0
Taxon199,0
Taxon15418,0
Taxon216,0
Taxon168,0
Taxon1603,38
Taxon4118,0
Taxon13534,38
Taxon39,0
Taxon137,0
Taxon628,0
Taxon4612,27
Taxon424,0
Taxon6219,0
Taxon18516,64
Taxon8394,0
Taxon604,0
Taxon2474,0
Taxon5761,76
Taxon5774,19
Taxon1909,0
Taxon2725,0
Taxon3001,0
Taxon3041,0
Taxon140,0
Taxon3066,43
Taxon307,0
Taxon7348,36
Taxon5542,0
Taxon2565,0
Taxon8215,0
Taxon2283,71
Taxon142,0
Taxon2110,63
Taxon401,0
Taxon301,59
Taxon1928,0
Taxon978,0
Taxon1635,43
Taxon5648,0
Taxon14400,0
Taxon265,0
Taxon2490,0
Taxon1551,0
Taxon148,0
Taxon2619,0
Taxon53,0
Taxon1828,0
Taxon344,0
Taxon355,45
Taxon2148,0
Taxon112,40
Taxon940,0
Taxon194,0
Taxon563,0
Taxon1861,0
Taxon7749,36
Taxon1951,0
Taxon2357,0
Taxon498,0
Taxon1432,0
Taxon1272,20
Taxon1330,0
Taxon99,0
Taxon4695,0
Taxon19960,80
Taxon210,0
Taxon942,0
Taxon7681,0
Taxon993,0
Taxon9597,0
Taxon9891,0
Taxon3700,0
Taxon702,0
Taxon1206,0
Taxon2142,30
Taxon3836,0
Taxon1033,0
Taxon842,65
Taxon276,0
Taxon954,0
Taxon8,9
Taxon4649,0
Taxon709,0
Taxon17665,0
Taxon4720,0
Taxon3750,0
Taxon3925,0
Taxon7498,32
Taxon110,0
Taxon2293,0
Taxon1380,0
Taxon8498,0
Taxon1640,0
Taxon8151,0
Taxon537,0
Taxon444,0
Taxon2079,0
Taxon3153,44
Taxon14604,0
Taxon517,0
Taxon18499,0
Taxon4645,0
Taxon2592,0
Taxon618,0
Taxon15149,0
Taxon414,0
Taxon652,0
Taxon4507,0
Taxon463,0
Taxon178,0
Taxon303,0
Taxon1167,14
Taxon1426,0
Taxon3919,18
Taxon2770,0
Taxon6851,0
Taxon808,0
Taxon473,39
Taxon1261,0
Taxon96,0
Taxon12948,0
Taxon11298,0
Taxon6047,0
Taxon9167,0
Taxon372,39
Taxon1395,15
Taxon1837,0
Taxon3056,0
Taxon1031,0
Taxon1095,0
Taxon3222,0
Taxon3120,0
Taxon1127,0
Taxon11763,28
Taxon179,0
Taxon14962,0
Taxon8616,0
Taxon1559,0
Taxon1748,0
Taxon1186,69
Taxon376,0
Taxon1666,0
Taxon2432,0
Taxon149,0
Taxon247,0
Taxon2848,0
Taxon2020,0
Taxon7840,0
Taxon5275,0
Taxon4854,0
Taxon4532,0
Taxon2925,0
Taxon12268,0
Taxon5205,0
Taxon2838,0
Taxon3832,0
Taxon2211,32
Taxon166,0
Taxon413,0
Taxon415,0
Taxon5444,12
Taxon1957,0
Taxon1006,0
Taxon13745,0
Taxon686,0
Taxon3867,0
Taxon603,0
Taxon11764,0
Taxon6828,0
Taxon4800,0
Taxon12953,0
Taxon967,0
Taxon1030,0
Taxon1457,0
Taxon3213,0
Taxon456,0
Taxon545,0
Taxon132,51
Taxon7500,0
Taxon364,0
Taxon4955,0
Taxon430,0
Taxon3647,0
Taxon4958,0
Taxon2021,0
Taxon2042,0
Taxon2771,0
Taxon1329,0
Taxon1681,26
Taxon2054,0
Taxon16978,0
Taxon3551,0
Taxon949,0
Taxon408,0
Taxon2689,0
Taxon2145,0
Taxon371,0
Taxon5022,0
Taxon4104,0
Taxon1641,0
Taxon6266,0
Taxon440,0
Taxon491,0
Taxon7996,0
Taxon177,0
Taxon3005,0
Taxon4724,0
Taxon198,0
Taxon2587,0
Taxon52,0
Taxon8960,0
Taxon3028,0
Taxon643,0
Taxon799,0
Taxon17096,40
Taxon1599,14
Taxon13039,0
Taxon8800,0
Taxon7275,0
Taxon9683,0
Taxon15752,9
Taxon17532,0
Taxon1042,0
Taxon9962,0
Taxon13271,0
Taxon1694,0
Taxon1783,0
Taxon4289,0
Taxon1845,0
Taxon3404,7
Taxon17525,0
Taxon57,0
Taxon357,0
Taxon542,0
Taxon1423,0
Taxon559,0
Taxon685,0
Taxon1039,0
Taxon5771,0
Taxon1333,0
Taxon5550,8
Taxon5102,0
Taxon10627,0
Taxon2071,0
Taxon6504,0
Taxon2646,0
Taxon248,0
Taxon349,0
Taxon2772,0
Taxon7853,0
Taxon6863,0
Taxon12253,0
Taxon4973,0
Taxon13947,0
Taxon2429,0
Taxon8859,0
Taxon2330,0
Taxon2523,0
Taxon2345,0
Taxon4962,0
Taxon7795,0
Taxon3860,0
Taxon15145,0
Taxon6401,0
Taxon8172,0
Taxon4325,0
Taxon1170,0
Taxon1792,0
Taxon6736,0
Taxon14724,0
Taxon1538,20
Taxon11855,0
Taxon7926,0
Taxon1074,0
Taxon2423,0
Taxon7797,0
Taxon1295,0
Taxon883,0
Taxon2047,0
Taxon11566,0
Taxon219,0
Taxon5791,0
Taxon274,0
Taxon50,0
Taxon7127,0
Taxon1460,0
Taxon913,0
Taxon6200,0
Taxon3812,0
Taxon675,0
Taxon3145,0
Taxon511,0
Taxon2343,0
Taxon17102,0
Taxon19354,22
Taxon8550,0
Taxon4039,0
Taxon13147,0
Taxon188,0
Taxon1210,0
Taxon13772,0
Taxon1531,0
Taxon8156,0
Taxon581,0
Taxon2544,0
Taxon19011,0
Taxon571,0
Taxon9011,0
Taxon1527,0
Taxon1732,0
Taxon6846,0
Taxon6002,0
Taxon11294,0
Taxon6293,0
Taxon197,0
Taxon397,0
Taxon896,18
Taxon3995,18
Taxon17671,8
Taxon4086,0
Taxon7893,0
Taxon956,0
Taxon12416,0
Taxon16755,0
Taxon12439,0
Taxon3820,17
Taxon2396,0
Taxon11386,0
Taxon13575,0
Taxon321,0
Taxon2572,0
Taxon10483,0
Taxon2310,0
Taxon9229,0
Taxon1076,0
Taxon13052,0
Taxon910,0
Taxon4319,0
Taxon1987,0
Taxon566,0
Taxon1438,0
Taxon790,0
Taxon17726,0
Taxon6036,0
Taxon8005,0
Taxon10050,0
Taxon238,0
Taxon2516,0
Taxon10714,0
Taxon49,0
Taxon13036,0
Taxon3846,0
Taxon1665,0
Taxon504,0
Taxon4151,0
Taxon5777,0
Taxon8050,0
Taxon1172,0
Taxon2826,0
Taxon2679,0
Taxon856,0
Taxon6006,0
Taxon4517,0
Taxon1287,0
Taxon460,0
Taxon2917,0
Taxon121,0
Taxon157,0
Taxon4279,0
Taxon5267,0
Taxon527,0
Taxon1723,0
Taxon1142,0
Taxon963,0
Taxon10250,0
Taxon2817,0
Taxon11651,0
Taxon12012,0
Taxon20000,0
Taxon1854,0
Taxon16822,0
Taxon18852,0
Taxon5842,9
Taxon13712,0
Taxon281,0
Taxon6901,0
Taxon4038,0
Taxon2616,0
Taxon950,0
Taxon2238,0
Taxon5668,0
Taxon308,0
Taxon4348,0
Taxon2155,0
Taxon4125,0
Taxon10272,0
Taxon20372,0
Taxon7006,0
Taxon10296,0
Taxon16586,0
Taxon7644,0
Taxon6316,0
Taxon15310,0
Taxon3520,0
Taxon13178,0
Taxon11947,0
Taxon886,0
Taxon9422,0
Taxon3210,0
Taxon10929,0
Taxon909,0
Taxon4326,0
Taxon2418,0
Taxon3118,0
Taxon9257,0
Taxon16579,0
Taxon14169,0
Taxon10267,0
Taxon2069,0
Taxon9822,0
Taxon16228,0
Taxon187,0
Taxon15278,0
Taxon2093,0
Taxon6076,0
Taxon5153,0
Taxon680,0
Taxon2604,0
Taxon7252,0
Taxon10998,0
Taxon6162,0
Taxon1009,0
Taxon2694,0
Taxon15912,0
Taxon10108,0
Taxon12366,0
Taxon4894,0
Taxon10589,0
Taxon17030,0
Taxon651,0
Taxon3460,0
Taxon1193,0
